2026-09-03T20:28:34.100Z,winkado,battle-gen9championsvgc2026regmb-2675169223,s9mmow,1234,0,Oranguru+Avalugg+Camerupt+Torkoal,Charizard+Kingambit+Basculegion+Aerodactyl+Sylveon+Garchomp
2026-09-03T20:28:40.893Z,winkado,battle-gen9championsvgc2026regmb-2675170191,maksimilian123,1132,0,Oranguru+Sinistcha+Camerupt+Torkoal,Mawile+Primarina+Sableye+Flapple+Sceptile+Skarmory
2026-09-03T20:30:45.708Z,winkado,battle-gen9championsvgc2026regmb-2675171212,oijhygf,1052,1,Oranguru+Sinistcha+Camerupt+Torkoal,Tyranitar+Rotom-Wash+Sinistcha-Masterpiece+Incineroar+Lucario+Liepard
2026-09-03T20:31:59.565Z,winkado,battle-gen9championsvgc2026regmb-2675171279,gstarany,1085,1,Oranguru+Sinistcha+Camerupt+Torkoal,Medicham+Whimsicott+Incineroar+Kingambit+Farigiraf+Talonflame
2026-09-03T20:32:29.453Z,winkado,battle-gen9championsvgc2026regmb-2675170958,ddrfunk,1199,0,Oranguru+Avalugg+Camerupt+Torkoal,Vaporeon+Politoed+Heliolisk+Toxicroak+Dragonite+Scovillain
2026-09-03T20:33:20.198Z,winkado,battle-gen9championsvgc2026regmb-2675173143-vxh7pbfiwbhhlw36lee9vk74n590qohpw,orange-juliu2,1150,0,Oranguru+Sinistcha+Camerupt+Torkoal,Venusaur+Pelipper+Charizard+Archaludon+Grimmsnarl+Basculegion
2026-09-03T20:33:50.312Z,winkado,battle-gen9championsvgc2026regmb-2675172891-d9jbk2dmelj7o17pb1rsrwnkbnhc6lmpw,stardust3,1113,0,Oranguru+Sinistcha+Camerupt+Torkoal,Froslass+Weavile+Sneasler+Basculegion+Gallade+Ceruledge
2026-09-03T20:34:21.890Z,winkado,battle-gen9championsvgc2026regmb-2675172289,Lukario871,1190,0,Oranguru+Sinistcha+Camerupt+Torkoal,Tyranitar+Talonflame+Steelix+Sinistcha-Masterpiece+Sneasler+Rotom-Wash
2026-09-03T20:35:43.391Z,winkado,battle-gen9championsvgc2026regmb-2675173555-ek9kxwdy3l87pj5kely3ihsx8jwt9c3pw,Jdsmynwgoainces,1000,0,Oranguru+Sinistcha+Camerupt+Torkoal,Malamar+Grimmsnarl+Sinistcha+Incineroar+Archaludon+Charizard
2026-09-03T20:35:47.561Z,winkado,battle-gen9championsvgc2026regmb-2675173780,ihobjl,1047,1,Oranguru+Sinistcha+Camerupt+Torkoal,Crabominable+Farigiraf+Slowking-Galar+Incineroar+Kingambit+Camerupt
2026-09-03T20:38:16.474Z,winkado,battle-gen9championsvgc2026regmb-2675174782-0ua8x621iljuhs5d8ge76nrccmbvmkkpw,BigTigerWhu,1055,0,Oranguru+Avalugg+Camerupt+Torkoal,Metagross+Floette-Eternal+Talonflame+Hydreigon+Ceruledge+Ninetales-Alola
2026-09-03T20:38:43.385Z,winkado,battle-gen9championsvgc2026regmb-2675174744,bandite,1126,0,Oranguru+Avalugg+Camerupt+Torkoal,Eelektross+Talonflame+Basculegion+Pikachu+Garchomp+Scolipede
2026-09-03T20:38:44.492Z,winkado,battle-gen9championsvgc2026regmb-2675174052,lunaticwolf,1047,0,Oranguru+Avalugg+Camerupt+Torkoal,Metagross+Medicham+Golurk+Kingambit+Floette-Eternal+Basculegion
2026-09-03T20:40:43.638Z,winkado,battle-gen9championsvgc2026regmb-2675175906,twunk user,1042,0,Oranguru+Avalugg+Camerupt+Torkoal,Charizard+Tyranitar+Basculegion+Archaludon+Pelipper+Venusaur
2026-09-03T20:41:29.504Z,winkado,battle-gen9championsvgc2026regmb-2675176157,aydah3370,1038,0,Oranguru+Avalugg+Camerupt+Torkoal,Staraptor+Araquanid+Glimmora+Garchomp+Annihilape+Gholdengo
2026-09-03T20:42:04.270Z,winkado,battle-gen9championsvgc2026regmb-2675177074,Nanaiahsh,1048,0,Oranguru+Sinistcha+Camerupt+Torkoal,Charizard+Venusaur+Milotic+Sneasler+Altaria+Wyrdeer
2026-09-03T20:42:30.836Z,winkado,battle-gen9championsvgc2026regmb-2675176132,capitainecrash,1097,0,Oranguru+Sinistcha+Camerupt+Torkoal,Incineroar+Scovillain+Lycanroc-Dusk+Dragonite+Gholdengo+Basculegion
2026-09-03T20:44:56.124Z,winkado,battle-gen9championsvgc2026regmb-2675177685,EndKey,1078,0,Oranguru+Sinistcha+Camerupt+Torkoal,Morpeko+Talonflame+Tsareena+Excadrill+Blastoise+Sneasler
2026-09-03T20:46:25.661Z,winkado,battle-gen9championsvgc2026regmb-2675177407,KermitKritik,1094,0,Oranguru+Sinistcha+Camerupt+Torkoal,Gengar+Politoed+Arcanine-Hisui+Toxapex+Grimmsnarl+Zoroark-Hisui
2026-09-03T20:47:18.547Z,winkado,battle-gen9championsvgc2026regmb-2675179006,gideon.prager20,1099,1,Oranguru+Avalugg+Camerupt+Torkoal,Staraptor+Charizard+Basculegion+Garchomp+Whimsicott+Sinistcha
2026-09-03T20:48:06.243Z,winkado,battle-gen9championsvgc2026regmb-2675177913,untakenname22,1049,1,Oranguru+Sinistcha+Camerupt+Torkoal,Goodra-Hisui+Audino+Tauros-Paldea-Aqua+Arbok+Grimmsnarl+Toxapex
2026-09-03T20:49:08.697Z,winkado,battle-gen9championsvgc2026regmb-2675180114,Danailloz,1029,1,Oranguru+Sinistcha+Camerupt+Torkoal,Scrafty+Farigiraf+Staraptor+Sinistcha-Masterpiece+Dragalge+Torkoal
2026-09-03T20:51:12.173Z,winkado,battle-gen9championsvgc2026regmb-2675179698-rc5c3btpiygs3fjw6mvv9emh0v6rfsxpw,hjmcfgjmcf,1000,0,Oranguru+Sinistcha+Camerupt+Torkoal,Blaziken+Meowscarada+Gholdengo+Dragonite+Sylveon+Mudsdale
2026-09-03T20:51:12.906Z,winkado,battle-gen9championsvgc2026regmb-2675180552,FiCim007,1144,1,Oranguru+Avalugg+Camerupt+Torkoal,Whimsicott+Palafin+Politoed+Liepard+Kingambit+Metagross
2026-09-03T20:51:29.937Z,winkado,battle-gen9championsvgc2026regmb-2675181963,HospitalityCheck,1051,1,Oranguru+Sinistcha+Camerupt+Torkoal,Metagross+Incineroar+Sinistcha+Whimsicott+Garchomp+Kingambit
2026-09-03T20:52:55.794Z,winkado,battle-gen9championsvgc2026regmb-2675182102,SwaggySwablu,1161,0,Oranguru+Avalugg+Camerupt+Torkoal,Blaziken+Primarina+Torkoal+Kingambit+Venusaur+Farigiraf
2026-09-03T20:53:05.195Z,winkado,battle-gen9championsvgc2026regmb-2675180979,Tuwiki,1206,1,Oranguru+Sinistcha+Camerupt+Torkoal,Staraptor+Raichu+Sneasler+Samurott-Hisui+Whimsicott+Sinistcha
2026-09-03T20:54:02.791Z,winkado,battle-gen9championsvgc2026regmb-2675181940-gvpdym4gwa8n504ptfpyd86wb3wgekupw,santandersal,1205,0,Oranguru+Sinistcha+Camerupt+Torkoal,Camerupt+Farigiraf+Kingambit+Sneasler+Sylveon+Sinistcha-Masterpiece
2026-09-03T20:56:14.116Z,winkado,battle-gen9championsvgc2026regmb-2675182816-op5ga8v2ias9fpfm3auujw69twmvclfpw,overquilled),1230,1,Oranguru+Avalugg+Camerupt+Torkoal,Aerodactyl+Tyranitar+Scovillain+Azumarill+Houndstone+Polteageist-Antique
2026-09-03T20:57:07.895Z,winkado,battle-gen9championsvgc2026regmb-2675182741,c0ld_p0cket,1057,1,Oranguru+Avalugg+Camerupt+Torkoal,Raichu+Pikachu+Espathra+Jolteon+Sceptile+Corviknight
2026-09-03T20:58:24.938Z,winkado,battle-gen9championsvgc2026regmb-2675184713-w91sngim5x5resp9ejiqtrk54ydd6c4pw,Asherhbaron,1247,0,Oranguru+Avalugg+Camerupt+Torkoal,Floette-Eternal+Maushold-Four+Garchomp+Talonflame+Hydreigon+Basculegion
2026-09-03T20:58:53.800Z,winkado,battle-gen9championsvgc2026regmb-2675183285,effff,1040,0,Oranguru+Sinistcha+Camerupt+Torkoal,Annihilape+Whimsicott+Bellibolt+Sceptile+Maushold+Incineroar
2026-09-03T20:59:31.345Z,winkado,battle-gen9championsvgc2026regmb-2675184294,solim kafu,1088,1,Oranguru+Avalugg+Camerupt+Torkoal,Ceruledge+Talonflame+Meowstic+Scovillain+Overqwil+Mudsdale
2026-09-03T21:01:27.378Z,winkado,battle-gen9championsvgc2026regmb-2675185309,tyler12321,1190,0,Oranguru+Sinistcha+Camerupt+Torkoal,Victreebel+Sneasler+Garchomp+Raichu+Corviknight+Rotom-Heat
2026-09-03T21:02:15.709Z,winkado,battle-gen9championsvgc2026regmb-2675185521-bamj6dl8w716688i41num97ookmqmffpw,I0Emerald0I,1074,1,Oranguru+Avalugg+Camerupt+Torkoal,Eelektross+Medicham+Sinistcha-Masterpiece+Tauros+Sceptile+Volcarona
2026-09-03T21:02:23.165Z,winkado,battle-gen9championsvgc2026regmb-2675185818,3Anna,1042,0,Oranguru+Avalugg+Camerupt+Torkoal,Banette+Toxapex+Glimmora+Clefable+Medicham+Basculegion
2026-09-03T21:04:31.726Z,winkado,battle-gen9championsvgc2026regmb-2675187082,toehook,1043,1,Oranguru+Sinistcha+Camerupt+Torkoal,Mawile+Basculegion+Sinistcha+Incineroar+Farigiraf+Froslass
2026-09-03T21:04:51.556Z,winkado,battle-gen9championsvgc2026regmb-2675187029,JAMNED,1043,0,Oranguru+Sinistcha+Camerupt+Torkoal,Metagross+Pelipper+Garchomp+Kangaskhan+Sylveon+Milotic
2026-09-03T21:05:42.434Z,winkado,battle-gen9championsvgc2026regmb-2675186683,Vimith,1171,0,Oranguru+Avalugg+Camerupt+Torkoal,Blastoise+Aerodactyl+Meowstic+Meganium+Espathra+Arcanine-Hisui
2026-09-03T21:07:12.271Z,winkado,battle-gen9championsvgc2026regmb-2675188134,p!ssfart,1067,1,Oranguru+Sinistcha+Camerupt+Torkoal,Metagross+Kommo-o+Weavile+Grimmsnarl+Rotom-Wash+Gardevoir
2026-09-03T21:08:58.662Z,winkado,battle-gen9championsvgc2026regmb-2675188211,CellieMay522,1000,1,Oranguru+Avalugg+Camerupt+Torkoal,Slowking-Galar+Maushold-Four+Crabominable+Froslass+Toxapex+Ditto
2026-09-03T21:09:19.215Z,winkado,battle-gen9championsvgc2026regmb-2675189243,Dibiya,1216,0,Oranguru+Avalugg+Camerupt+Torkoal,Scovillain+Araquanid+Lycanroc-Dusk+Sylveon+Hydreigon+Gholdengo
2026-09-03T21:09:56.578Z,winkado,battle-gen9championsvgc2026regmb-2675188624-hmcyghiu94702f625161lbjeci3mjoipw,gabrlk,1044,1,Oranguru+Avalugg+Camerupt+Torkoal,Sceptile+Tsareena+Chesnaught+Decidueye-Hisui+Torterra+Whimsicott
2026-09-03T21:11:55.527Z,winkado,battle-gen9championsvgc2026regmb-2675190139,sadlybad2025,1060,1,Oranguru+Sinistcha+Camerupt+Torkoal,Malamar+Gholdengo+Delphox+Whimsicott+Annihilape+Sneasler
2026-09-03T21:12:03.868Z,winkado,battle-gen9championsvgc2026regmb-2675190555-xgsvy7hvcnujq5lvv62qplp7fqjb35vpw,CHARIZARDMAGE,1101,1,Oranguru+Avalugg+Camerupt+Torkoal,Snorlax+Hawlucha+Sinistcha+Basculegion+Archaludon+Pelipper
2026-09-03T21:12:42.148Z,winkado,battle-gen9championsvgc2026regmb-2675190320,arfz1234,1000,0,Oranguru+Sinistcha+Camerupt+Torkoal,Blastoise+Delphox+Sinistcha-Masterpiece+Sneasler+Kingambit+Incineroar
